0, , , , , , , , , 1000000, 1000008, 1000016, 1000024, 1000032, 1000040, 1000048, 1000056, 1000064, 
1, , , , , , , , , 1000001, 1000009, 1000017, 1000025, 1000033, 1000041, 1000049, 1000057, 1000065, 
2, , , , , , , , , 1000002, 1000010, 1000018, 1000026, 1000034, 1000042, 1000050, 1000058, 1000066, 
3, , , , , , , , , 1000003, 1000011, 1000019, 1000027, 1000035, 1000043, 1000051, 1000059, 1000067, 
4, , , , , , , , , 1000004, 1000012, 1000020, 1000028, 1000036, 1000044, 1000052, 1000060, 1000068, 
5, , , , , , , , , 1000005, 1000013, 1000021, 1000029, 1000037, 1000045, 1000053, 1000061, 1000069, 
6, , , , , , , , , 1000006, 1000014, 1000022, 1000030, 1000038, 1000046, 1000054, 1000062, 1000070, 
7, , , , , , , , , 1000007, 1000015, 1000023, 1000031, 1000039, 1000047, 1000055, 1000063, 1000071, 
8, 13, 12, 11, 10, 3, 2, 1, 0, , , , , , , , , , , , , , , , , , , 
9, 15, 14, 13, 12, 5, 4, 3, 2, , , , , , , , , , , , , , , , , , , 
10, 17, 16, 15, 14, 7, 6, 5, 4, , , , , , , , , , , , , , , , , , , 
11, 19, 18, 17, 16, 9, 8, 7, 6, , , , , , , , , , , , , , , , , , , 
12, 23, 22, 21, 20, 13, 12, 11, 10, , , , , , , , , , , , , , , , , , , 
13, 25, 24, 23, 22, 15, 14, 13, 12, , , , , , , , , , , , , , , , , , , 
14, 27, 26, 25, 24, 17, 16, 15, 14, , , , , , , , , , , , , , , , , , , 
15, 29, 28, 27, 26, 19, 18, 17, 16, , , , , , , , , , , , , , , , , , , 
16, 33, 32, 31, 30, 23, 22, 21, 20, , , , , , , , , , , , , , , , , , , 
17, 35, 34, 33, 32, 25, 24, 23, 22, , , , , , , , , , , , , , , , , , , 
18, 37, 36, 35, 34, 27, 26, 25, 24, , , , , , , , , , , , , , , , , , , 
19, 39, 38, 37, 36, 29, 28, 27, 26, , , , , , , , , , , , , , , , , , , 
20, 43, 42, 41, 40, 33, 32, 31, 30, , , , , , , , , , , , , , , , , , , 
21, 45, 44, 43, 42, 35, 34, 33, 32, , , , , , , , , , , , , , , , , , , 
22, 47, 46, 45, 44, 37, 36, 35, 34, , , , , , , , , , , , , , , , , , , 
23, 49, 48, 47, 46, 39, 38, 37, 36, , , , , , , , , , , , , , , , , , , 
